Category,Company,Website
NFT Projects,Bored Ape Yacht Club,https://boredapeyachtclub.com/
NFT Projects,CryptoPunks,https://www.larvalabs.com/
NFT Projects,Art Blocks,https://www.artblocks.io/
NFT Projects,Meebits,https://larvalabs.com/project/meebits
NFT Projects,Doodles,https://doodles.com/
Crypto Projects,Bitcoin,https://www.bitcoin.com/get-started/faq/
Crypto Projects,Ethereum,https://ethereum.org/en/
Crypto Projects,Binance Coin,https://www.binance.us/
Crypto Projects,Tether,https://www.coinbase.com/converter/usdt/usd
Crypto Projects,USD Coin,https://www.circle.com/en/circle-mint
Commodities - Diamonds,De Beers Group,https://www.debeersgroup.com/
Commodities - Diamonds,Rio Tinto,https://www.riotinto.com/
Commodities - Diamonds,BHP,https://www.bhp.com/
Commodities - Diamonds,Petra Diamonds,https://www.petradiamonds.com/
Commodities - Diamonds,Tiffany & Co.,https://www.tiffany.com/
Commodities - Oil,ExxonMobil,https://corporate.exxonmobil.com/
Commodities - Oil,Chevron,https://www.chevron.com/
Commodities - Oil,ConocoPhillips,https://www.conocophillips.com/
Commodities - Oil,BP,https://www.bp.com/
Commodities - Oil,Royal Dutch Shell,https://royaldutchshellplc.com/
Commodities - Rice,Olam International,https://www.olamgroup.com/
Commodities - Rice,Cargill,https://www.cargill.com/
Commodities - Rice,Archer Daniels Midland,https://www.adm.com/
Commodities - Rice,Ebro Foods,https://www.ebrofoods.es/en/
Commodities - Rice,Louis Dreyfus Company,https://www.ldc.com/
Jewellery Stores,Tiffany & Co.,https://www.tiffany.com/
Jewellery Stores,Cartier,https://www.cartier.com/
Jewellery Stores,Bulgari,https://www.bulgari.com/
Jewellery Stores,Harry Winston,https://www.harrywinston.com/it
Jewellery Stores,Van Cleef & Arpels,https://www.vancleefarpels.com/en/home.html
Oil Producers,ExxonMobil,https://corporate.exxonmobil.com/
Oil Producers,Chevron,https://www.chevron.com/
Oil Producers,ConocoPhillips,https://www.conocophillips.com/
Oil Producers,BP,https://www.bp.com/
Oil Producers,Royal Dutch Shell,https://royaldutchshellplc.com/
Diamond brands,De Beers,https://www.debeersgroup.com/
Diamond brands,Rio Tinto,https://www.riotinto.com/
Diamond brands,BHP,https://www.bhp.com/
Diamond brands,Petra Diamonds,https://www.petradiamonds.com/
Diamond brands,Tiffany & Co.,https://www.tiffany.com/
Automotive brands,Toyota,https://www.toyota.com/
Automotive brands,Volkswagen,https://www.vw.com/en.html
Automotive brands,General Motors,https://www.gm.com/
Automotive brands,Ford,https://www.ford.com/
Automotive brands,Hyundai,https://...
Fashion Brands,Nike,https://www.nike.com/
Fashion Brands,Adidas,https://www.adidas.com/us
Fashion Brands,Puma,https://us.puma.com/
Fashion Brands,Under Armour,[URL under armour ON underarmour.
